Site ID,samples22k,Site Name,Lat,Long,Elev,Preferred Units,Biome,Region,Country,Site Type,Water Depth (m),Basin Size,Catchment Size,Landscape,Local Veg,Regional Veg,Streams,Have Pub?,Original Dating Type,Record Source,Age Model,Data Source,Database (Source),Project,Published,Version,ID_Status
1,668,Cygnet,44.6628,-110.6161,2530,X125,11,WNA0,US00,LGLA,-9999,VESM,MEDI,MOUN,Pinus contorta,Montane forest,INON,Yes,CALO,,POLY,RAW0,NOTA,,Yes,GCD1,BART
2,567,Slough Creek Pond,44.9183,-110.3467,1884,X125,11,WNA0,US00,LACU,-9999,VESM,SMAL,MOUN,by Artemisia tridentata (sagebrush) and isolated stands of Pseudotsuga menziesii,"Montana forest, forest-steppe margin",NOTK,Yes,CALO,,POLY,RAW0,NOTA,,Yes,GCD1,BART
3,367,Burnt Knob,45.7044,-114.9867,2250,X125,11,WNA0,US00,LCIR,5.5,VESM,SMAL,MOUN,"Larix lyallii (subalpine larch), Pinus albicaulis (whitebark pine), Picea engelmannii (Engelmann spruce) and Abies bifolia (subalpine fir)",Subalpine forest,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,Yes,GCD1,BART
4,387,Baker,45.8919,-114.2619,2300,X125,8,WNA0,US00,LCIR,16,VESM,SMAL,MOUN,"Larix lyallii (subalpine larch), Pinus albicaulis (whitebark pine), Picea engelmannii (Engelmann spruce) and Abies bifolia (subalpine fir)",Subalpine forest,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,Yes,GCD1,BART
5,435,Hoodoo,46.3206,-114.6503,1770,X125,10,WNA0,US00,LACU,4,VESM,SMAL,MOUN,Pinus contorta and Pseudotsuga menziesii,Montane forest,INOU,Yes,CALO,,POLY,RAW0,NOTA,,Yes,GCD1,BART
6,971,Pintlar,45.8406,-113.4403,1921,X125,10,WNA0,US00,LACU,0,VESM,SMAL,MOUN,Pinus contorta and Pseudotsuga menziesii,Montane forest,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,Yes,GCD1,BART
7,1801,Foy,48.1658,-114.3592,1006,X125,7,WNA0,US00,LACU,39,LARG,SMAL,MOUN,"Pseudotsuga menziesii, Pinus ponderosa, and Larix occidentalis",Forest-steppe border,NOTK,Yes,CALO,author (mp),POLY,RAW0,NOTA,,No,GCD1,BART
8,790,Bolan,42.02,-123.46,1637,X125,9,WNA0,US00,LACU,0,VESM,SMAL,MOUN,"Pinus monticola (western white pine), P. albicaulis (whitebark pine), P. contorta (lodgepole pine), P. Jefferyi (Jeffery pine), Pseudotsuga menziesii, Abies magnifica (red fir), Abies concolor (white fir), Calocedrus decurrens (incense cedar)",Diverse conifer forest,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
9,310,Bluff,41.3467,-122.5575,1921,X125,9,WNA0,US00,LACU,0,VESM,SMAL,MOUN,"Pinus monticola (western white pine), P. albicaulis (whitebark pine), P. contorta (lodgepole pine), P. Jefferyi (Jeffery pine), Pseudotsuga menziesii, Abies magnifica (red fir), Abies concolor (white fir), Calocedrus decurrens (incense cedar)",Diverse conifer forest,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
10,331,Cedar,41.2075,-122.4954,1740,X125,17,WNA0,US00,LACU,2.6,VESM,SMAL,MOUN,"Pinus monticola (western white pine), P. albicaulis (whitebark pine), P. contorta (lodgepole pine), P. Jefferyi (Jeffery pine), Pseudotsuga menziesii, Abies magnifica (red fir), Abies concolor (white fir), Calocedrus decurrens (incense cedar)",Diverse conifer forest,NOTK,No,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
11,420,Crater Lake CA,41.3836,-122.5778,2288,X125,9,WNA0,US00,LACU,0,VESM,SMAL,MOUN,"Pinus monticola (western white pine), P. albicaulis (whitebark pine), P. contorta (lodgepole pine), P. Jefferyi (Jeffery pine), Pseudotsuga menziesii, Abies magnifica (red fir), Abies concolor (white fir), Calocedrus decurrens (incense cedar)",Diverse conifer forest,NOTK,Yes,CALO,,POLY,RAW0,NOTA,,No,GCD1,BART
